id,chapter,title,tier,type,fixed_prefix,concept,human_problem,black_plan,memory_rule,surprise_editorial_1_5,opponent_burden_editorial_1_5,our_simplicity_editorial_1_5,learning_longevity_editorial_1_5,human_pressure_editorial_mean_1_5,engine_worst_grade_fixed_moves,engine_max_loss_cp_fixed_moves,validation_humaine
COL-06,Colle et Zukertort,4.Be2 : développement sans concession,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Be2 e6,Obtenir une position saine où le plan blanc manque de mordant.,Be2 évite l’échange de fous mais réduit la pression sur h7.,"Jouer ...c6 ou ...c5 selon c4, puis ...Nbd7.","Sans fou en d3, le Colle perd son attaque standard.",1,2,5,5,3.25,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-07,Colle et Zukertort,4.c3 : ...Nbd7 et contrôle de e5,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. c3 Nbd7,Développer vers le contrôle des cases e5 et c5.,"c3 annonce e4, mais enferme aussi le cavalier b1.","Jouer ...e6, ...Bd6 et ...O-O ; frapper par ...c5 au bon moment.",Le triangle blanc ne fonctionne pas si e4 est contrôlé deux fois.,2,3,5,5,3.75,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-08,Colle et Zukertort,4.Nh4 : conserver le fou par ...Bg4,Club,pratique,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Nh4 Bg4,Déplacer le fou avec tempo sur la dame et provoquer f3/h3.,Nh4 veut gagner la paire de fous mais éloigne le cavalier du centre.,"Après f3, jouer ...Bd7 ou ...Bh5 ; cibler e3 et e4.",Le cavalier chasse le fou et quitte f3 : utilise le clouage avant de reculer.,3,4,4,4,3.75,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-09,Colle et Zukertort,"4.Nc3 : ...c6, puis ...e6",Club,critique,1. d4 d5 2. Nf3 Nf6 3. e3 Bf5 4. Nc3 c6,Retirer les tactiques Nb5 et stabiliser d5 avant ...e6.,"Nc3 accélère e4 mais bloque le pion c, ce qui rend le centre plus prévisible.","Jouer ...e6, ...Nbd7 et ...Bd6.","Nc3 rend e4 plus rapide, mais c4 plus difficile.",2,3,5,5,3.75,A,21,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-10,Colle et Zukertort,Zukertort : frapper par ...c5,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. b3 c5 5. Bb2 Nc6,Occuper l’espace avant que Bb2 et Bd3 ne construisent une attaque.,Le plan blanc est lent et suppose une position fermée.,"Jouer ...Bd6, ...O-O et parfois ...cxd4 pour isoler d4.",Le Zukertort aime le temps : enlève-lui du temps avec ...c5.,3,3,5,5,4.0,A,1,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-11,Colle et Zukertort,Zukertort avec c4 : isoler d4,Club,structure,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. b3 c5 5. c4 cxd4 6. exd4 Bb4+,Créer une cible centrale et gagner un tempo de développement.,"c4 cherche une structure anglaise, mais la reprise exd4 peut isoler le pion d.","Échanger en d4, jouer ...Bb4+ et roquer.","Quand b3 et c4 sont joués, demande quel pion devra reprendre en d4.",3,4,4,5,4.0,A,1,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
COL-12,Colle et Zukertort,Zukertort calme : clarifier au centre,Club,critique,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. b3 c5 5. Be2 cxd4 6. exd4 Bd6,Réduire l’attaque blanche en échangeant le centre et le fou d3 potentiel.,Be2 garde la position flexible mais ne crée aucune menace immédiate.,"Développer ...O-O, ...Nc6 et utiliser e4 comme avant-poste.","Sans attaque directe, simplifie le centre avant que le plan ne mûrisse.",2,2,5,5,3.5,A,1,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-01,Torre,3...Ne4! : occuper la case que le fou a quittée,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bf4 c5,Utiliser e4 comme avant-poste et attaquer le centre immédiatement.,Le fou g5 cherche un clouage confortable ; ...Ne4 refuse ce scénario.,"Jouer ...Nc6, ...Qb6 et parfois ...cxd4.",Le fou quitte c1 ; le cavalier prend e4.,4,4,5,5,4.5,A,11,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-02,Torre,4.Bh4 : le coup machine ...h5!,Club,pratique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bh4 h5,Restreindre le fou et préparer ...f6-g5 sans craindre une attaque de roi immédiate.,Bh4 applique une règle de conservation du fou mais lui retire ses cases.,"Après e3, jouer ...f6 ; si Nfd2, échanger ou gagner de l’espace.",Le but de ...h5 n’est pas d’attaquer : c’est de fermer la porte h2.,5,5,4,4,4.5,A,11,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-03,Torre,4.Be3 : développement actif ...Bf5,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Be3 Bf5,Profiter du retrait passif du fou pour développer sans concession.,Be3 protège le fou mais bloque e3 et gêne le plan normal blanc.,"Jouer ...e6, ...Nd7 et échanger en e4 si cela simplifie.",Un fou défensif en e3 donne un tempo au fou c8.,2,2,5,5,3.5,A,11,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-04,Torre,4.Bd2 : ...c5 et pression centrale,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bd2 c5,Punir un retrait qui ne développe aucune nouvelle pièce.,Bd2 maintient le fou mais laisse d4 sans renfort supplémentaire.,Jouer ...Nc6 et ...cxd4 ; utiliser ...Qb6 si b2 est vulnérable.,Chaque retrait du même fou autorise une rupture.,3,3,5,5,4.0,A,11,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-05,Torre,4.h4 : ignorer l’intimidation,Club,pratique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. h4 c5,Répondre sur le centre plutôt que copier une poussée d’aile.,"h4 cherche à punir ...Nxg5 ou ...f6, mais le roi blanc n’est pas développé.","Jouer ...Qb6, ...Nc6 et laisser les Blancs justifier h4.","Contre h4, ne joue pas h5 par réflexe : joue ...c5.",4,4,5,5,4.5,A,11,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-06,Torre,4.Nbd2 : prendre le fou,Essentiel,pratique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Nbd2 Nxg5 5. Nxg5 e5,Échanger la pièce active puis gagner le centre avec tempo.,Nbd2 suppose que le cavalier e4 doit reculer ; il oublie l’échange favorable.,"Après ...e5, développer ...Nc6 et viser d4.","Quand le cavalier d2 reprend en g5, le centre e5 devient libre.",5,5,5,5,5.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-07,Torre,4.c4 : éliminer le fou puis jouer ...e5,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. c4 Nxg5 5. Nxg5 e5,Utiliser l’absence du fou pour occuper e5 et attaquer g5/d4.,"c4 croit profiter du cavalier central, mais la séquence d’échanges favorise le centre noir.",Développer ...Nc6 et calculer ...exd4.,"Après Nxg5, le cavalier blanc devient la cible de ...e5.",4,4,4,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-08,Torre,4.e3 : le coup concret ...f6,Club,pratique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. e3 f6,Chasser le fou et préparer e5 dans un centre fermé.,e3 consolide d4 mais enferme le fou c1 ; le roi blanc ne peut exploiter la poussée f.,"Après Bf4, jouer ...c5 ; après Bh4, g5 peut gagner le fou.",La poussée ...f6 est saine quand elle gagne un tempo et prépare ...e5.,5,5,4,4,4.5,A,11,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-09,Torre,Bh4-h5-f6 : échanger puis enfermer,Avancé,structure,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bh4 h5 5. e3 f6 6. Nfd2 Nxd2 7. Nxd2 g5,"Échanger le cavalier qui pourrait défendre le fou, puis construire une cage de pions.",Les Blancs jouent des coups “sûrs” ; l’échange en d2 retire un défenseur et rend la restriction du fou plus concrète.,"Après ...g5, choisir entre gagner le fou, ouvrir la colonne h ou consolider avec ...e6.","Échange d’abord le bon défenseur, puis compte les cases du fou.",5,5,3,5,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
TOR-10,Torre,Bf4 puis ...Qb6 : double pression,Avancé,critique,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bf4 c5 5. e3 Qb6,Combiner l’avant-poste e4 avec la cible b2.,Les Blancs ont replacé le fou comme au Londres mais ont perdu un tempo.,Jouer ...Nc6 et prendre b2 si la dame dispose d’une sortie.,Une Torre qui recule en f4 est un Londres avec un tempo de moins.,5,5,4,5,4.75,A,3,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-01,Veresov et pseudo-Trompowsky,3...c5 : attaquer d4 immédiatement,Essentiel,critique,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. e3 e6,Refuser une position fermée et préparer ...Nc6.,Le Veresov veut e4 sans rencontrer de tension centrale.,"Développer ...Nc6, ...Be7 et décider entre ...cxd4 et ...Be7.","Contre Nc3+Bg5, la réponse est ...c5 avant e4.",3,3,5,5,4.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-02,Veresov et pseudo-Trompowsky,4.e4 : le centre tactique ...Nxe4,Club,critique,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. e4 Nxe4 5. Nxe4 dxe4,Montrer que le centre blanc ne tient pas concrètement.,e4 est le rêve du Veresov ; il est joué parfois sans vérifier d4.,"Après dxc5, jouer ...Qa5+ et récupérer.",Le rêve e4 devient une cible quand d4 doit reprendre.,4,4,4,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-03,Veresov et pseudo-Trompowsky,4.dxc5 : encore ...d4!,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. dxc5 d4,Utiliser le même pattern que contre le Jobava.,Les Blancs prennent sur c5 en s’attendant à ...e6.,"Chasser le cavalier, jouer ...e5 et récupérer c5 plus tard.",Nc3 + prise en c5 = vérifie toujours ...d4.,5,5,5,5,5.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-04,Veresov et pseudo-Trompowsky,4.Nf3 : l’avant-poste ...Ne4,Club,pratique,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. Nf3 Ne4,Profiter du clouage imparfait pour centraliser.,"Nf3 cherche une transposition paisible, mais e4 est disponible.",Échanger le fou ou augmenter la pression avec ...Nc6.,Le fou g5 ne cloue rien si le roi peut rester flexible.,4,4,5,5,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-05,Veresov et pseudo-Trompowsky,4.Bxf6 : reprendre du pion g,Club,structure,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. Bxf6 gxf6,Accepter la structure pour obtenir la colonne g et un centre mobile.,Les Blancs appliquent la règle “abîmer les pions du roque” sans regarder que le roi noir peut roquer long ou rester au centre.,"Jouer ...cxd4, ...e6 et utiliser la paire de fous.",Les pions doublés g contrôlent e5 et ouvrent la colonne g.,5,4,3,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-06,Veresov et pseudo-Trompowsky,4.Qd2 : clarifier d4,Club,critique,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. Qd2 cxd4 5. Qxd4 Nc6,Gagner un tempo de développement sur la dame.,Qd2 prépare le grand roque mais devient exposée après l’ouverture du centre.,Développer ...e5 ou ...Bf5 selon la case de la dame.,Grand roque annoncé = ouvre le centre avec tempo.,4,4,5,5,4.5,A,9,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-07,Veresov et pseudo-Trompowsky,4.a3 : développement avant tout,Essentiel,structure,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. a3 Nc6,Ne pas réagir à un coup lent ; développer et augmenter la pression.,a3 veut préparer e4/b4 mais ne résout pas la tension d4.,"Après e4, calculer cxd4 ou dxe4.",Un tempo d’aile autorise une pièce de plus au centre.,3,3,5,5,4.0,A,4,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
VER-08,Veresov et pseudo-Trompowsky,4.f3 : ouvrir avant e4,Essentiel,pratique,1. d4 d5 2. Nc3 Nf6 3. Bg5 c5 4. f3 cxd4 5. Qxd4 Nc6,Attaquer la dame et le centre avant que f3-e4 ne fonctionne.,f3 affaiblit les diagonales et retarde le cavalier g1.,Développer ...e5 avec tempo et garder le roi flexible.,Comme au Jobava : f3 appelle ...cxd4.,5,5,5,5,5.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
PST-01,Veresov et pseudo-Trompowsky,2.Bg5 : demander au fou avec ...h6,Essentiel,critique,1. d4 d5 2. Bg5 h6 3. Bh4 c5,Obtenir un tempo utile avant de frapper le centre.,Le pseudo-Trompowsky mise sur un Noir qui développe Nf6 automatiquement.,"Jouer ...cxd4, ...Nc6 et ...Qb6.","Avant de jouer ...Nf6, demande au fou où il veut vivre.",4,4,5,5,4.5,A,23,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
PST-02,Veresov et pseudo-Trompowsky,3.Bf4 : ...c5 et gain de temps,Essentiel,structure,1. d4 d5 2. Bg5 h6 3. Bf4 c5,Transformer le pseudo-Trompowsky en Londres avec un tempo blanc perdu.,Le fou a déjà joué deux fois et le centre blanc n’est pas stabilisé.,Jouer ...Nc6 et ...cxd4 ou ...Qb6.,"Fou g5-f4 = Londres, mais les Noirs ont gagné h6 gratuitement.",3,3,5,5,4.0,A,23,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
PST-03,Veresov et pseudo-Trompowsky,3.Be3 : ...c5 et pression simple,Club,pratique,1. d4 d5 2. Bg5 h6 3. Be3 c5,Punir le placement passif du fou par une occupation centrale.,Be3 évite les tempos mais bloque e3 et la dame.,"Jouer ...Nc6, ...Nf6 et ...Qb6.",Le fou sauvé en e3 bloque le développement qu’il voulait faciliter.,4,4,5,5,4.5,A,23,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
PST-04,Veresov et pseudo-Trompowsky,3.Bxh6? : accepter le sacrifice,Essentiel,pratique,1. d4 d5 2. Bg5 h6 3. Bxh6 Rxh6,Reconnaître un sacrifice visuellement tentant mais insuffisant.,Le joueur pense empêcher le roque et gagner deux pions pour le fou.,"Développer ...Nf6, ...c5 et utiliser la tour active h6.",Deux pions ne valent pas un fou ; la tour h6 peut rentrer par h8.,5,5,5,4,4.75,A,23,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
STO-01,Stonewall et gambits,Stonewall : fermer par ...c4!,Essentiel,pratique,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. f4 c4 5. Be2 Bf5,Fixer le fou d3 hors de sa diagonale d’attaque et gagner de l’espace.,Le Stonewall veut Bxh7+ ou e4 ; ...c4 coupe le fou et empêche la rupture facile.,"Jouer ...e6, ...Nc6 et développer l’aile-dame par ...b5.",Fou d3 + f4 = ferme le centre par ...c4.,5,5,5,5,5.0,A,6,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
STO-02,Stonewall et gambits,Le fou recule en f1 : développement gratuit,Club,pratique,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. f4 c4 5. Bf1 Bf5,Faire payer le recul complet du fou par un avantage de développement.,Les Blancs veulent préserver leur “bon” fou mais recommencent leur développement.,"Jouer ...e6, ...Nc6 et ...b5 ; viser e4.","Quand le fou retourne chez lui, développe une pièce avec tempo de fait.",4,4,5,5,4.5,A,6,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
STO-03,Stonewall et gambits,Ordre c3-f4 : clouage ...Bg4,Club,critique,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. c3 Nc6 5. f4 Bg4,Empêcher e4 par pression sur d1/f3 et terminer le développement.,L’ordre c3 évite ...c4 immédiat mais rend le cavalier b1 passif.,"Jouer ...e6, ...Bd6 et roquer.","Si ...c4 n’est plus possible, empêche e4 par un clouage.",3,4,5,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
STO-04,Stonewall et gambits,"Même structure, autre développement : ...Nc6",Essentiel,structure,1. d4 d5 2. e3 Nf6 3. Bd3 c5 4. f4 c4 5. Be2 Nc6,Développer derrière la chaîne et préparer ...Bf5 ou ...e5.,Les Blancs ont une structure fixe mais peu de ruptures immédiates.,Utiliser ...b5-b4 et surveiller e5.,"Après ...c4, l’aile-dame est ton terrain de jeu.",2,3,5,5,3.75,A,8,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
STO-05,Stonewall et gambits,2.f4 : frapper par ...c5,Club,critique,1. d4 d5 2. f4 c5 3. e3 Nc6 4. Nf3 Bf5,Empêcher la construction tranquille du Stonewall dès le deuxième coup.,f4 annonce le plan avant que les pièces soient développées.,"Jouer ...e6, ...Nf6 et viser Nb4/d3.","Quand le plan est annoncé tôt, frappe la base d4 tôt.",3,4,5,5,4.25,A,3,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
BDG-01,Stonewall et gambits,Blackmar-Diemer : accepter avec ...exf3,Essentiel,critique,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Bf5,Accepter le pion puis développer le fou avant ...e6.,Le gambit compte sur un Noir qui défend passivement son pion supplémentaire.,"Développer ...e6, ...Be7 et roquer ; rendre le pion seulement pour simplifier.","Accepte, développe, roque — ne protège pas le pion avec des contorsions.",4,4,5,5,4.5,A,10,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
BDG-02,Stonewall et gambits,Développement fianchetto : ...g6,Club,structure,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 g6,Neutraliser les diagonales d3-h7 et c4-f7 par un fianchetto.,Les Blancs attendent ...e6 et une cible sur f7.,"Jouer ...Bg7, ...O-O et ...c5.",Le fianchetto enlève les deux cibles classiques du gambit.,3,3,5,5,4.0,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
BDG-03,Stonewall et gambits,5.Qxf3? : la dame noire prend d4,Essentiel,pratique,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Qxf3 Qxd4,Punir la sortie précoce de la dame par un second gain de pion tactiquement sain.,Qxf3 crée une batterie visuelle mais abandonne d4.,"Après Be3, déplacer la dame avec gain ou échanger en f3 si possible.",La dame sur f3 attaque f7 et cesse de défendre d4.,5,5,4,4,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
BDG-04,Stonewall et gambits,6.Bc4 : consolider avec ...e6,Club,critique,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Bf5 6. Bc4 e6,Fermer f7 et préparer ...Bd6 ou ...Be7.,Bc4 est la pression la plus naturelle du gambit.,"Roquer, puis jouer ...c6 ou ...Nbd7 ; échanger les pièces attaquantes.","Contre une attaque de gambit, le développement défend mieux que les pions.",2,3,5,5,3.75,A,10,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
BDG-05,Stonewall et gambits,6.Bg5 : le frein ...c6,Avancé,critique,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 Bf5 6. Bg5 c6,Retirer les sauts Nd5 et préparer ...Nbd7 sans créer de faiblesse.,Bg5 vise à empêcher le développement naturel et à lancer Qe2.,"Jouer ...Nbd7, ...e6 et ...Be7 ; simplifier le fou g5.",Le petit coup ...c6 retire les cases qui donnent du rythme à l’attaque.,2,3,4,5,3.5,A,10,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
